Keyword,Job Title,Company,Date Posted,Salary,Experience,Skills,Description
Software Engineer,Software Engineer,"HyTech Solutions, Multiple Cities , Pakistan","Sep 02, 2025",,2 Years,"PostgreSQL, Django, Vue.js",We are looking for a Software Engineer to join our team and help build our next-generation web application using Vue.js 3 (frontend) and Dja..
Software Engineer,Software Engineer - Intern,"Zixel Technology, Islamabad , Pakistan","Aug 27, 2025",30K - 50K,Fresh,"Git, Problem Solving, CPLUSPLUS","Software Engineering Intern — CPLUSPLUS GeometryYou’ll do: implement geometric algorithms (boolean/offset/fillet/meshing), profiling & memor.."
Software Engineer,Software Engineer - SQL Database,"The Shams Group, All Cities , Pakistan","Sep 03, 2025",,3 Years,"HTML, Data Management, .Net Framework, Software Development, Microsoft SQL Database, Powershell, End  to End Sales","We are looking for a qualified Database developer to design stable and reliable databases, according to our companys needs. You will be resp.."
Software Engineer,Software Engineer,"CNC Software Pvt Ltd, Kasur , Pakistan","Aug 20, 2025",,2 Years,"LINUX, Shell Scripting, API, Python",RequirementsStrong coding skills in Python and Shell scriptingGood understanding of APIs and Unix/Linux systemsProblem-solving and debuggin..
Software Engineer,Software Engineer,"The Shams Group, All Cities , Pakistan","Sep 03, 2025",,3 Years,"MOSFETs, MVC, .NET, Windows Server OS, Office 365 Applications, TSSQL, SQL Server, End  to End Sales","We are looking for a qualified Software Engineer to design, develop, install and support software solutions according to our company\'s ne.."
Software Engineer,Software Engineer,"Agilosoft, All Cities , Pakistan","Aug 23, 2025",,2 Years,"Web API, Microservices, REACT.JS, SQL, Problem-Solving, CCHANNEL","Agilosoft is looking for enthusiastic Software Engineers to join their technology team in a full-time, on-site role. This position is well-s.."
Software Engineer,Software Engineer,"Pattem Digital, Bangalore , India","Aug 20, 2025",,Less than 1 Year,"Restful APIs, HTML, Node.js",We are looking for the services of a Software EngineerRelevant candidates are encouraged to apply.
Software Engineer,Software Engineer,"Global E-Commerce Services Pvt, Karachi , Pakistan","Aug 24, 2025",,2 Years,"MySQL, CSS3, Bootstrap, Object-oriented programming, Version Control (GIT), Angular, HTML5, JavaScript","Global E-Com Pvt Ltd is looking for a motivated Software Engineer to join its growing IT team based in Karachi. This full-time, on-site posi.."
Software Engineer,Software Engineer,"Kodifly, Islamabad , Pakistan","Aug 19, 2025",,2 Years,"Computer Vision, AI, 3D point cloud processing, Digital twin creation, LiDAR technology",Kodifly is an innovative company dedicated to revolutionizing infrastructure monitoring through advanced spatial intelligence. With headquar..
Software Engineer,Software Engineer,"Systems PK, All Cities , Pakistan","Aug 15, 2025",250K - 250K,2 Years,"Data Analysis, SQL, Problem-Solving, R, Python, Communication, Data Cleaning, AI and machine learning concepts","We are looking for a talented Data Analyst to join our team on a full-time basis. In this role, you will be responsible for analyzing data c.."
Software Engineer,Software Engineer,"Siriz Apps, Lahore , Pakistan","Aug 07, 2025",,2 Years,"ASP.net, Git, SOAP, MVC, Entity FrameWork, Web API, Swagger, Azure DevOps, Open Api, Micro Services Arch",We are looking for an experienced Software Engineer with .NET expertise to join our team. If you're a problem-solver with a passion for crea..
